Format Version,1.23,Take Name,Take 2021-06-13 06.40.43 PM_019,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-06-13 07.19.59.549 下午,Total Frames in Take,10578,Total Exported Frames,10578,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV:Marker1,OASES_USV:Marker1,OASES_USV:Marker1,OASES_USV:Marker2,OASES_USV:Marker2,OASES_USV:Marker2,OASES_USV:Marker3,OASES_USV:Marker3,OASES_USV:Marker3,OASES_USV:Marker4,OASES_USV:Marker4,OASES_USV:Marker4,OASES_USV:Marker5,OASES_USV:Marker5,OASES_USV:Marker5,OASES_USV:Marker6,OASES_USV:Marker6,OASES_USV:Marker6,OASES_USV:Marker7,OASES_USV:Marker7,OASES_USV:Marker7,OASES_USV:Marker8,OASES_USV:Marker8,OASES_USV:Marker8,OASES_USV:Marker9,OASES_USV:Marker9,OASES_USV:Marker9
,ID,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,2318D923CC3111EB1371DA7D1A00BA88,16C94F0,16C94F0,16C94F0,4574208FCC3911EB1371DA7D1A00BA88,4574208FCC3911EB1371DA7D1A00BA88,4574208FCC3911EB1371DA7D1A00BA88,457420BCCC3911EB1371DA7D1A00BA88,457420BCCC3911EB1371DA7D1A00BA88,457420BCCC3911EB1371DA7D1A00BA88,16D5950,16D5950,16D5950,17027F0,17027F0,17027F0,16D5260,16D5260,16D5260,17023F0,17023F0,17023F0,16D6BE0,16D6BE0,16D6BE0,45742154CC3911EB1371DA7D1A00BA88,45742154CC3911EB1371DA7D1A00BA88,45742154CC3911EB1371DA7D1A00BA88
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,0.007103,0.701532,-0.017142,0.712397,-0.612669,0.531223,-5.662795,0.001675,-0.606327,0.612862,-5.375425,,,,,,,-0.894756,0.61142,-5.666242,-0.644745,0.448057,-5.658924,-0.325407,0.611326,-5.662254,-0.608567,0.612014,-5.948626,-0.331385,0.468468,-5.940998,,,
1,0.008333,0.006225,0.701522,-0.01659,0.712428,-0.611561,0.53151,-5.662766,0.001547,-0.605616,0.612927,-5.375433,,,,,,,-0.893985,0.611521,-5.666325,-0.643996,0.448133,-5.6589,-0.323437,0.612892,-5.661903,-0.607809,0.61205,-5.948633,-0.330679,0.46855,-5.941084,,,
2,0.016667,0.006325,0.701356,-0.016656,0.712588,-0.610825,0.531519,-5.662762,0.001566,-0.604984,0.612948,-5.375428,,,,,,,-0.893192,0.611619,-5.666451,-0.643234,0.448131,-5.658915,-0.32281,0.612791,-5.661798,-0.606956,0.612094,-5.94864,-0.32966,0.468496,-5.940855,,,
3,0.025,0.007227,0.701112,-0.017143,0.712808,-0.610413,0.53134,-5.662839,0.001637,-0.604456,0.612905,-5.375439,,,,,,,-0.892407,0.611664,-5.666587,-0.64245,0.448148,-5.658984,-0.323041,0.611395,-5.661824,-0.606051,0.612079,-5.94867,-0.328886,0.468637,-5.940891,,,
