Format Version,1.23,Take Name,Take 2021-06-13 06.40.43 PM_021,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-06-13 07.27.59.617 下午,Total Frames in Take,3888,Total Exported Frames,3888,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV:Marker1,OASES_USV:Marker1,OASES_USV:Marker1,OASES_USV:Marker2,OASES_USV:Marker2,OASES_USV:Marker2,OASES_USV:Marker3,OASES_USV:Marker3,OASES_USV:Marker3,OASES_USV:Marker4,OASES_USV:Marker4,OASES_USV:Marker4,OASES_USV:Marker5,OASES_USV:Marker5,OASES_USV:Marker5,OASES_USV:Marker6,OASES_USV:Marker6,OASES_USV:Marker6,OASES_USV:Marker7,OASES_USV:Marker7,OASES_USV:Marker7,OASES_USV:Marker8,OASES_USV:Marker8,OASES_USV:Marker8,OASES_USV:Marker9,OASES_USV:Marker9,OASES_USV:Marker9
,ID,"2318D923CC3111EB1371DA7D1A00BA88","2318D923CC3111EB1371DA7D1A00BA88","2318D923CC3111EB1371DA7D1A00BA88","2318D923CC3111EB1371DA7D1A00BA88","2318D923CC3111EB1371DA7D1A00BA88","2318D923CC3111EB1371DA7D1A00BA88","2318D923CC3111EB1371DA7D1A00BA88","2318D923CC3111EB1371DA7D1A00BA88","1AEB670","1AEB670","1AEB670","1B1DD90","1B1DD90","1B1DD90","1B0CE30","1B0CE30","1B0CE30","1B2E850","1B2E850","1B2E850","1B28E60","1B28E60","1B28E60","1B06B40","1B06B40","1B06B40","1B199C0","1B199C0","1B199C0","647A1F28CC3A11EB1371DA7D1A00BA88","647A1F28CC3A11EB1371DA7D1A00BA88","647A1F28CC3A11EB1371DA7D1A00BA88","1B1D320","1B1D320","1B1D320"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.021221,0.131604,-0.001958,0.991073,-0.068509,0.541204,-4.358328,0.001447,-0.345747,0.618099,-4.273451,-0.410563,0.478303,-4.540169,-0.249804,0.477714,-4.013539,-0.145040,0.625867,-4.630051,-0.076408,0.455728,-4.386239,0.007298,0.619752,-4.081594,0.207667,0.622684,-4.430533,,,,0.116826,0.490116,-4.701485
1,0.008333,0.020888,0.135182,-0.000313,0.990601,-0.068762,0.541878,-4.358539,0.001237,-0.345038,0.618103,-4.271626,-0.411565,0.478292,-4.537663,-0.247952,0.477631,-4.012447,-0.146593,0.625913,-4.629460,-0.076714,0.455786,-4.386017,0.008980,0.619688,-4.081889,0.204751,0.626879,-4.434676,,,,0.114801,0.490032,-4.702402
2,0.016667,0.020788,0.138136,-0.000284,0.990195,-0.068763,0.541917,-4.358581,0.001178,-0.344391,0.617891,-4.270561,-0.412579,0.478414,-4.535448,-0.245766,0.477549,-4.011240,-0.148059,0.625970,-4.628964,-0.076976,0.455878,-4.385906,0.010629,0.619681,-4.082188,0.204310,0.626774,-4.436256,0.281586,0.484311,-4.172717,0.112797,0.489894,-4.703338
3,0.025000,0.020717,0.141019,-0.000475,0.989790,-0.068668,0.541890,-4.358581,0.001169,-0.343661,0.617965,-4.268733,-0.413750,0.478491,-4.533291,-0.243567,0.477497,-4.010009,-0.149133,0.625657,-4.629344,-0.077245,0.455958,-4.385748,0.012384,0.619660,-4.082630,0.203992,0.626742,-4.437753,0.282631,0.484236,-4.174700,0.110738,0.489927,-4.704329
4,0.033333,0.020879,0.144006,-0.000607,0.989356,-0.068627,0.541849,-4.358349,0.001209,-0.342624,0.618022,-4.267808,-0.414753,0.478571,-4.530867,-0.241624,0.477420,-4.008949,-0.150885,0.625684,-4.628740,-0.077608,0.456096,-4.385640,0.015335,0.620048,-4.084397,0.203489,0.626692,-4.439334,0.283792,0.484176,-4.176759,0.108647,0.489853,-4.705463
5,0.041667,0.020925,0.147025,-0.000637,0.988911,-0.068371,0.542018,-4.358762,0.001248,-0.341734,0.618285,-4.266136,-0.415816,0.478659,-4.528574,-0.239418,0.477458,-4.007784,-0.152437,0.625693,-4.628128,-0.077822,0.456166,-4.385464,0.016782,0.619990,-4.084647,0.202890,0.626627,-4.440888,0.284847,0.484140,-4.178862,0.107864,0.490550,-4.708504
