Format Version,1.23,Take Name,Take 2021-06-13 06.40.43 PM_013,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-06-13 07.00.44.398 下午,Total Frames in Take,2025,Total Exported Frames,2025,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV:Marker1,OASES_USV:Marker1,OASES_USV:Marker1,OASES_USV:Marker2,OASES_USV:Marker2,OASES_USV:Marker2,OASES_USV:Marker3,OASES_USV:Marker3,OASES_USV:Marker3,OASES_USV:Marker4,OASES_USV:Marker4,OASES_USV:Marker4,OASES_USV:Marker5,OASES_USV:Marker5,OASES_USV:Marker5,OASES_USV:Marker6,OASES_USV:Marker6,OASES_USV:Marker6,OASES_USV:Marker7,OASES_USV:Marker7,OASES_USV:Marker7,OASES_USV:Marker8,OASES_USV:Marker8,OASES_USV:Marker8,OASES_USV:Marker9,OASES_USV:Marker9,OASES_USV:Marker9
,ID,"2318D923CC3111EB1371DA7D1A00BA88","2318D923CC3111EB1371DA7D1A00BA88","2318D923CC3111EB1371DA7D1A00BA88","2318D923CC3111EB1371DA7D1A00BA88","2318D923CC3111EB1371DA7D1A00BA88","2318D923CC3111EB1371DA7D1A00BA88","2318D923CC3111EB1371DA7D1A00BA88","2318D923CC3111EB1371DA7D1A00BA88","DBA440","DBA440","DBA440","9354FF04CC3611EB1371DA7D1A00BA88","9354FF04CC3611EB1371DA7D1A00BA88","9354FF04CC3611EB1371DA7D1A00BA88","9354FF07CC3611EB1371DA7D1A00BA88","9354FF07CC3611EB1371DA7D1A00BA88","9354FF07CC3611EB1371DA7D1A00BA88","DBA4E0","DBA4E0","DBA4E0","EA0170","EA0170","EA0170","DBA410","DBA410","DBA410","E16D90","E16D90","E16D90","EBBA10","EBBA10","EBBA10","9354FF05CC3611EB1371DA7D1A00BA88","9354FF05CC3611EB1371DA7D1A00BA88","9354FF05CC3611EB1371DA7D1A00BA88"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.009087,-0.923355,0.023012,-0.383150,1.694326,0.542336,-6.355284,0.001030,1.907436,0.620026,-6.158406,,,,,,,1.496724,0.627254,-6.155097,1.672898,0.460455,-6.330429,1.897301,0.617406,-6.560244,1.494256,0.625158,-6.558345,1.687470,0.480549,-6.752014,,,
1,0.008333,-0.009161,-0.923319,0.023048,-0.383232,1.693987,0.542354,-6.354977,0.001064,1.907064,0.620003,-6.158013,,,,,,,1.496576,0.627301,-6.154787,1.672457,0.460528,-6.330123,1.897032,0.617359,-6.559949,1.493833,0.625174,-6.558017,1.687243,0.480582,-6.751731,,,
2,0.016667,-0.009178,-0.923317,0.023128,-0.383232,1.693682,0.542404,-6.354604,0.001086,1.906769,0.620027,-6.157604,,,,,,,1.496431,0.627366,-6.154493,1.672153,0.460607,-6.329795,1.896840,0.617415,-6.559575,1.493458,0.625190,-6.557668,1.686853,0.480570,-6.751277,,,
3,0.025000,-0.008087,-0.923118,0.024851,-0.383628,1.693570,0.542173,-6.354011,0.001120,1.906512,0.620131,-6.157238,,,,,,,1.496240,0.627454,-6.154227,1.671898,0.460649,-6.329452,1.896524,0.617473,-6.559196,1.493198,0.625258,-6.557422,1.687590,0.477459,-6.750247,,,
4,0.033333,-0.007899,-0.923256,0.025817,-0.383235,1.694054,0.542479,-6.353061,0.001515,1.906287,0.620219,-6.156862,1.706545,0.486324,-5.963293,,,,1.495961,0.627482,-6.153976,1.671626,0.460681,-6.329063,1.896248,0.617523,-6.558883,1.492909,0.625308,-6.557162,1.687314,0.477499,-6.749954,1.304441,0.492319,-6.344363
5,0.041667,-0.008097,-0.923207,0.025842,-0.383348,1.694059,0.542442,-6.352882,0.001623,1.905941,0.620319,-6.156537,1.706217,0.486451,-5.962976,2.084966,0.476510,-6.366349,1.495739,0.627544,-6.153741,1.671365,0.460736,-6.328720,1.895921,0.617585,-6.558612,1.490780,0.624059,-6.555160,1.687059,0.477547,-6.749656,1.304133,0.492306,-6.344145
6,0.050000,-0.009676,-0.923351,0.023346,-0.383124,1.693491,0.542679,-6.353017,0.001660,1.905455,0.620410,-6.156256,,,,2.084617,0.476485,-6.365970,1.495598,0.627681,-6.153400,1.671122,0.460761,-6.328397,1.895650,0.617570,-6.558314,1.490509,0.624081,-6.554895,1.685683,0.480598,-6.749951,1.303777,0.492337,-6.343927
