Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_018,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-07-11 03.52.03.712 下午,Total Frames in Take,7647,Total Exported Frames,7647,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV
,ID,"3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,-0.000607,0.720927,0.003629,-0.693002,1.120075,0.530943,-5.968020,0.001247
1,0.008333,-0.000601,0.720905,0.003663,-0.693024,1.119943,0.530913,-5.967982,0.001234
2,0.016667,-0.000574,0.720953,0.003603,-0.692974,1.120067,0.530917,-5.967901,0.001021
3,0.025000,-0.000533,0.720873,0.003839,-0.693056,1.119584,0.530812,-5.967948,0.001278
4,0.033333,-0.000501,0.720855,0.003884,-0.693075,1.119421,0.530764,-5.967919,0.001278
5,0.041667,-0.000460,0.720826,0.003946,-0.693105,1.119251,0.530713,-5.967899,0.001275
6,0.050000,-0.000420,0.720875,0.003869,-0.693054,1.119359,0.530702,-5.967827,0.001018
7,0.058333,-0.000398,0.720800,0.004040,-0.693131,1.118846,0.530592,-5.967866,0.001284
8,0.066667,-0.000355,0.720785,0.004072,-0.693147,1.118619,0.530515,-5.967857,0.001293
9,0.075000,-0.000306,0.720766,0.004055,-0.693167,1.118354,0.530457,-5.967858,0.001307
10,0.083333,-0.000265,0.720732,0.004069,-0.693202,1.118131,0.530421,-5.967866,0.001311
11,0.091667,-0.000210,0.720688,0.004054,-0.693248,1.117900,0.530378,-5.967872,0.001301
12,0.100000,-0.000045,0.720494,0.004390,-0.693447,1.118037,0.530249,-5.967894,0.001029
13,0.108333,0.000032,0.720439,0.004442,-0.693504,1.117751,0.530150,-5.967906,0.001050
14,0.116667,0.000099,0.720406,0.004432,-0.693539,1.117484,0.530082,-5.967921,0.001045
15,0.125000,0.000178,0.720395,0.004399,-0.693550,1.117209,0.530049,-5.967927,0.001043
16,0.133333,0.000090,0.720541,0.003990,-0.693401,1.116535,0.530061,-5.967940,0.001293
17,0.141667,0.000134,0.720499,0.003976,-0.693444,1.116273,0.529992,-5.967972,0.001283
18,0.150000,0.000197,0.720456,0.003922,-0.693490,1.115996,0.529926,-5.968000,0.001283
19,0.158333,0.000244,0.720404,0.003863,-0.693543,1.115718,0.529877,-5.968030,0.001284
20,0.166667,0.000280,0.720322,0.003819,-0.693629,1.115429,0.529823,-5.968076,0.001256
21,0.175000,0.000347,0.720289,0.003748,-0.693664,1.115069,0.529774,-5.968098,0.001252
22,0.183333,,,,,,,,
23,0.191667,0.000353,0.720337,0.003374,-0.693616,1.113896,0.529710,-5.968007,0.000787
24,0.200000,0.000425,0.720297,0.003297,-0.693658,1.113541,0.529651,-5.968043,0.000810
25,0.208333,0.000635,0.720155,0.003405,-0.693805,1.113569,0.529536,-5.968241,0.001345
26,0.216667,0.000690,0.720103,0.003324,-0.693859,1.113190,0.529498,-5.968270,0.001331
27,0.225000,0.000739,0.720053,0.003233,-0.693912,1.112822,0.529460,-5.968305,0.001324
28,0.233333,0.000819,0.720007,0.003148,-0.693959,1.112416,0.529425,-5.968331,0.001297
