Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_020,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-07-11 03.55.20.130 下午,Total Frames in Take,8545,Total Exported Frames,8545,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV
,ID,"3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,-0.005590,0.725073,0.002187,0.688646,-1.946847,0.521936,-5.800123,0.001124
1,0.008333,-0.005650,0.724961,0.002062,0.688764,-1.946024,0.521930,-5.800149,0.001131
2,0.016667,-0.005662,0.724867,0.001984,0.688863,-1.945181,0.521930,-5.800167,0.001139
3,0.025000,-0.005634,0.724768,0.001848,0.688968,-1.944309,0.521927,-5.800153,0.001124
4,0.033333,-0.005679,0.724689,0.001690,0.689051,-1.943472,0.521920,-5.800158,0.001088
5,0.041667,-0.005714,0.724529,0.001559,0.689219,-1.942531,0.521904,-5.800199,0.001128
6,0.050000,-0.005695,0.724422,0.001385,0.689332,-1.941646,0.521872,-5.800230,0.001124
7,0.058333,-0.005731,0.724275,0.001247,0.689487,-1.940709,0.521831,-5.800266,0.001159
8,0.066667,-0.005767,0.724218,0.001103,0.689546,-1.939816,0.521826,-5.800275,0.001138
9,0.075000,-0.006269,0.723761,0.000750,0.690022,-1.939330,0.522051,-5.800164,0.001238
10,0.083333,-0.006329,0.723681,0.000579,0.690106,-1.938440,0.522033,-5.800153,0.001223
11,0.091667,-0.006376,0.723530,0.000451,0.690263,-1.937493,0.521987,-5.800174,0.001224
12,0.100000,-0.006368,0.723427,0.000255,0.690372,-1.936574,0.522012,-5.800203,0.001223
13,0.108333,-0.006384,0.723318,0.000107,0.690486,-1.935601,0.521993,-5.800248,0.001221
14,0.116667,-0.006413,0.723163,-0.000051,0.690648,-1.934684,0.521970,-5.800273,0.001214
15,0.125000,-0.006429,0.723029,-0.000205,0.690788,-1.933688,0.521952,-5.800313,0.001212
16,0.133333,-0.006484,0.722954,-0.000339,0.690866,-1.932722,0.521947,-5.800323,0.001215
17,0.141667,-0.006084,0.723136,-0.000171,0.690679,-1.931293,0.521690,-5.800461,0.001175
18,0.150000,-0.006061,0.723024,-0.000336,0.690796,-1.930323,0.521706,-5.800501,0.001134
19,0.158333,-0.006500,0.722532,-0.000757,0.691307,-1.929760,0.521916,-5.800434,0.001208
20,0.166667,-0.006100,0.722719,-0.000634,0.691115,-1.928367,0.521663,-5.800568,0.001131
21,0.175000,-0.006181,0.722584,-0.000746,0.691255,-1.927275,0.521645,-5.800619,0.001146
22,0.183333,-0.006196,0.722474,-0.000922,0.691369,-1.926266,0.521631,-5.800642,0.001145
23,0.191667,-0.006220,0.722331,-0.001059,0.691519,-1.925259,0.521614,-5.800680,0.001146
24,0.200000,0.006213,-0.722195,0.001179,-0.691661,-1.924223,0.521614,-5.800697,0.001137
25,0.208333,,,,,,,,
26,0.216667,0.006718,-0.721620,0.001656,-0.692254,-1.922571,0.521837,-5.800663,0.001229
27,0.225000,0.006288,-0.721785,0.001546,-0.692087,-1.921074,0.521592,-5.800808,0.001186
28,0.233333,0.006327,-0.721669,0.001646,-0.692208,-1.920015,0.521564,-5.800847,0.001165
