Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_025,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-07-11 04.06.02.993 下午,Total Frames in Take,4905,Total Exported Frames,4905,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV
,ID,"3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,-0.006268,0.707884,-0.001330,0.706299,-0.786907,0.525019,-5.851793,0.001227
1,0.008333,-0.005974,0.706614,-0.001530,0.707572,-0.786946,0.525215,-5.852034,0.001175
2,0.016667,-0.005958,0.705671,-0.001417,0.708513,-0.786898,0.525205,-5.851985,0.001162
3,0.025000,-0.006416,0.705276,-0.000945,0.708904,-0.786675,0.524921,-5.851521,0.001272
4,0.033333,-0.005949,0.703688,-0.001242,0.710483,-0.786639,0.525196,-5.851955,0.001233
5,0.041667,-0.005990,0.702532,-0.001157,0.711626,-0.786535,0.525201,-5.851845,0.001315
6,0.050000,-0.005954,0.701577,-0.001030,0.712568,-0.786498,0.525248,-5.851845,0.001280
7,0.058333,-0.006102,0.700590,-0.001067,0.713537,-0.786532,0.525280,-5.851726,0.001423
8,0.066667,-0.006058,0.699622,-0.000994,0.714487,-0.786545,0.525301,-5.851700,0.001366
9,0.075000,-0.005958,0.698696,-0.000866,0.715393,-0.786523,0.525343,-5.851687,0.001330
10,0.083333,-0.005882,0.699407,0.000104,0.714699,-0.786641,0.525038,-5.850506,0.001485
11,0.091667,-0.005848,0.698294,0.000363,0.715787,-0.786627,0.525115,-5.850516,0.001560
12,0.100000,-0.005726,0.697314,0.000392,0.716743,-0.786587,0.525165,-5.850502,0.001475
13,0.108333,-0.005448,0.694606,-0.000469,0.719369,-0.786414,0.525570,-5.851878,0.001118
14,0.116667,-0.005674,0.695357,0.000714,0.718642,-0.786592,0.525314,-5.850642,0.001467
15,0.125000,-0.005700,0.694227,0.000742,0.719733,-0.786566,0.525375,-5.850752,0.001513
16,0.133333,-0.005673,0.693181,0.000756,0.720741,-0.786568,0.525432,-5.850836,0.001474
17,0.141667,-0.005546,0.692019,0.000765,0.721858,-0.786539,0.525452,-5.850804,0.001476
18,0.150000,-0.005499,0.690998,0.000764,0.722835,-0.786497,0.525470,-5.850785,0.001447
19,0.158333,-0.005481,0.689818,0.000752,0.723962,-0.786433,0.525521,-5.850899,0.001489
20,0.166667,-0.005490,0.688535,0.000657,0.725182,-0.786402,0.525531,-5.850923,0.001447
21,0.175000,-0.005692,0.686249,0.000355,0.727345,-0.786133,0.525639,-5.851852,0.001236
22,0.183333,-0.005613,0.686245,0.000621,0.727349,-0.786296,0.525578,-5.851011,0.001491
23,0.191667,-0.005342,0.684887,0.000825,0.728629,-0.786425,0.525569,-5.850877,0.001670
24,0.200000,0.005402,-0.683760,-0.000487,-0.729687,-0.786228,0.525644,-5.851068,0.001484
25,0.208333,,,,,,,,
26,0.216667,0.005406,-0.681291,-0.000457,-0.731992,-0.786058,0.525663,-5.851078,0.001463
27,0.225000,0.005388,-0.680030,-0.000391,-0.733165,-0.786021,0.525685,-5.851173,0.001452
28,0.233333,0.005326,-0.678684,-0.000365,-0.734411,-0.785957,0.525647,-5.851097,0.001442
