Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_007,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-07-11 03.29.31.704 下午,Total Frames in Take,1279,Total Exported Frames,1279,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV
,ID,"3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,-0.003997,0.927175,-0.005324,0.374569,1.894544,0.531068,-6.555370,0.001143
1,0.008333,-0.004057,0.927225,-0.005526,0.374443,1.893919,0.531086,-6.554685,0.001148
2,0.016667,-0.004041,0.927270,-0.005685,0.374328,1.893295,0.531144,-6.554020,0.001122
3,0.025000,-0.004062,0.927306,-0.005837,0.374236,1.892654,0.531201,-6.553339,0.001116
4,0.033333,-0.004067,0.927328,-0.006026,0.374179,1.891986,0.531231,-6.552667,0.001131
5,0.041667,-0.004374,0.927233,-0.005757,0.374415,1.891144,0.530857,-6.552376,0.000682
6,0.050000,-0.004578,0.927281,-0.005996,0.374289,1.890691,0.531047,-6.551561,0.000737
7,0.058333,-0.004152,0.927448,-0.006541,0.373871,1.889953,0.531350,-6.550581,0.001109
8,0.066667,-0.004168,0.927490,-0.006700,0.373765,1.889318,0.531429,-6.549859,0.001093
9,0.075000,-0.004158,0.927535,-0.006838,0.373651,1.888617,0.531453,-6.549163,0.001088
10,0.083333,-0.004190,0.927567,-0.006970,0.373568,1.887941,0.531443,-6.548438,0.001149
11,0.091667,-0.004542,0.927459,-0.006827,0.373836,1.887307,0.531296,-6.547997,0.000718
12,0.100000,-0.004500,0.927543,-0.007105,0.373621,1.886581,0.531327,-6.547323,0.000716
13,0.108333,-0.004033,0.927664,-0.007486,0.373320,1.885870,0.531653,-6.546244,0.001080
14,0.116667,-0.003984,0.927707,-0.007646,0.373209,1.885157,0.531701,-6.545497,0.001095
15,0.125000,-0.003976,0.927742,-0.007761,0.373121,1.884423,0.531762,-6.544755,0.001102
16,0.133333,-0.004066,0.927767,-0.007850,0.373055,1.883714,0.531729,-6.544013,0.001139
17,0.141667,-0.003900,0.927797,-0.008109,0.372977,1.882946,0.531834,-6.543250,0.001108
18,0.150000,-0.003904,0.927826,-0.008139,0.372904,1.882222,0.531898,-6.542497,0.001106
19,0.158333,-0.004272,0.927737,-0.008015,0.373124,1.881539,0.531686,-6.541972,0.000712
20,0.166667,-0.004212,0.927752,-0.008099,0.373086,1.880788,0.531733,-6.541214,0.000704
21,0.175000,-0.004139,0.927784,-0.008211,0.373005,1.880011,0.531804,-6.540409,0.000698
22,0.183333,,,,,,,,
23,0.191667,-0.003718,0.927995,-0.008722,0.372473,1.878452,0.532139,-6.538497,0.001122
24,0.200000,-0.004012,0.927889,-0.008571,0.372736,1.877702,0.531987,-6.537981,0.000720
25,0.208333,-0.003939,0.927927,-0.008606,0.372642,1.876955,0.532052,-6.537126,0.000663
26,0.216667,-0.003303,0.928118,-0.008954,0.372164,1.875842,0.532150,-6.536096,0.001040
27,0.225000,-0.003858,0.928018,-0.008828,0.372410,1.875289,0.532147,-6.535517,0.000705
28,0.233333,-0.003806,0.928011,-0.008765,0.372431,1.874497,0.532189,-6.534589,0.000718
