Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_001 ,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-07-11 03.23.47.355 下午,Total Frames in Take,1190,Total Exported Frames,1190,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV
,ID,"3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,0.004463,0.379968,0.004630,-0.924977,1.750016,0.532507,-6.604047,0.000677
1,0.008333,0.004284,0.379936,0.004636,-0.924991,1.749508,0.532512,-6.603239,0.000664
2,0.016667,0.004187,0.379895,0.004520,-0.925009,1.748989,0.532522,-6.602430,0.000678
3,0.025000,0.004003,0.379881,0.004313,-0.925017,1.748475,0.532580,-6.601614,0.000636
4,0.033333,0.003759,0.379886,0.004315,-0.925016,1.747930,0.532605,-6.600769,0.000677
5,0.041667,0.003605,0.379881,0.004352,-0.925018,1.747378,0.532597,-6.599922,0.000654
6,0.050000,0.003766,0.379610,0.004751,-0.925127,1.746963,0.532780,-6.598998,0.001048
7,0.058333,0.003526,0.379600,0.004555,-0.925133,1.746411,0.532809,-6.598125,0.001057
8,0.066667,0.003099,0.379833,0.003914,-0.925042,1.745681,0.532625,-6.597404,0.000597
9,0.075000,0.003231,0.379582,0.004510,-0.925141,1.745270,0.532816,-6.596349,0.001029
10,0.083333,0.002734,0.379688,0.003914,-0.925102,1.744471,0.532615,-6.595588,0.000634
11,0.091667,0.002499,0.379689,0.003761,-0.925103,1.743858,0.532611,-6.594674,0.000669
12,0.100000,0.002682,0.379482,0.004247,-0.925186,1.743447,0.532800,-6.593632,0.001048
13,0.108333,0.002229,0.379593,0.003556,-0.925144,1.742674,0.532593,-6.592816,0.000635
14,0.116667,0.002026,0.379670,0.003483,-0.925113,1.741966,0.532604,-6.591906,0.000681
15,0.125000,0.001889,0.379566,0.003340,-0.925157,1.741335,0.532586,-6.590971,0.000666
16,0.133333,0.001799,0.379507,0.003176,-0.925182,1.740705,0.532575,-6.589978,0.000673
17,0.141667,0.001689,0.379499,0.003172,-0.925185,1.740156,0.532602,-6.589028,0.000647
18,0.150000,0.001547,0.379490,0.002970,-0.925190,1.739436,0.532633,-6.588051,0.000659
19,0.158333,0.001419,0.379414,0.002881,-0.925221,1.738768,0.532595,-6.587063,0.000642
20,0.166667,0.001392,0.379427,0.002894,-0.925216,1.738132,0.532566,-6.586078,0.000651
21,0.175000,,,,,,,,
22,0.183333,0.001200,0.379397,0.002528,-0.925230,1.736709,0.532542,-6.584138,0.000600
23,0.191667,0.001163,0.379339,0.002664,-0.925253,1.736057,0.532535,-6.583054,0.000657
24,0.200000,0.001267,0.379201,0.002990,-0.925309,1.735534,0.532727,-6.581924,0.001073
25,0.208333,0.001273,0.379158,0.002993,-0.925326,1.734850,0.532727,-6.580897,0.001076
26,0.216667,0.000956,0.379308,0.002418,-0.925267,1.733953,0.532486,-6.579957,0.000658
27,0.225000,0.000868,0.379283,0.002218,-0.925278,1.733201,0.532452,-6.578913,0.000668
28,0.233333,0.000763,0.379337,0.001969,-0.925256,1.732506,0.532415,-6.577935,0.000606
