Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_016,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-07-11 03.49.25.856 下午,Total Frames in Take,1641,Total Exported Frames,1641,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV
,ID,"3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,0.006915,-0.367652,-0.000612,-0.929938,1.788066,0.532988,-6.674928,0.000695
1,0.008333,0.006887,-0.367789,-0.000683,-0.929884,1.787596,0.533038,-6.674518,0.000672
2,0.016667,0.007651,-0.368305,-0.000539,-0.929673,1.787367,0.533246,-6.673952,0.000670
3,0.025000,0.007597,-0.368381,-0.000531,-0.929644,1.786848,0.533272,-6.673516,0.000662
4,0.033333,0.007574,-0.368489,-0.000536,-0.929601,1.786319,0.533310,-6.673076,0.000695
5,0.041667,0.006723,-0.368120,-0.000797,-0.929754,1.785589,0.533234,-6.672744,0.000740
6,0.050000,0.006637,-0.368200,-0.000881,-0.929722,1.785008,0.533178,-6.672321,0.000729
7,0.058333,0.006584,-0.368269,-0.000901,-0.929696,1.784575,0.533245,-6.671797,0.000766
8,0.066667,0.006396,-0.368382,-0.000878,-0.929652,1.784021,0.533302,-6.671313,0.000753
9,0.075000,0.006264,-0.368470,-0.000856,-0.929618,1.783449,0.533358,-6.670822,0.000788
10,0.083333,0.006180,-0.368566,-0.000790,-0.929581,1.782914,0.533349,-6.670321,0.000799
11,0.091667,0.006085,-0.368694,-0.000793,-0.929531,1.782370,0.533325,-6.669809,0.000763
12,0.100000,0.005957,-0.368818,-0.000826,-0.929482,1.781826,0.533320,-6.669305,0.000741
13,0.108333,0.005799,-0.368933,-0.000840,-0.929438,1.781230,0.533283,-6.668830,0.000711
14,0.116667,0.005680,-0.369078,-0.000877,-0.929381,1.780767,0.533352,-6.668196,0.000704
15,0.125000,0.006260,-0.369652,-0.000659,-0.929149,1.780413,0.533427,-6.667609,0.000713
16,0.133333,0.005318,-0.369257,-0.000744,-0.929312,1.779606,0.533345,-6.667176,0.000726
17,0.141667,0.005183,-0.369360,-0.000748,-0.929271,1.779100,0.533361,-6.666548,0.000735
18,0.150000,0.004961,-0.369364,-0.000969,-0.929271,1.778488,0.533273,-6.666052,0.000728
19,0.158333,0.005634,-0.370104,-0.000511,-0.928973,1.778190,0.533381,-6.665266,0.000691
20,0.166667,0.004524,-0.369740,-0.000706,-0.929124,1.777405,0.533299,-6.664833,0.000718
21,0.175000,0.004314,-0.369818,-0.000687,-0.929094,1.776863,0.533254,-6.664258,0.000716
22,0.183333,0.004148,-0.369937,-0.000668,-0.929047,1.776274,0.533184,-6.663632,0.000718
23,0.191667,,,,,,,,
24,0.200000,0.003642,-0.370158,-0.000508,-0.928961,1.775100,0.533113,-6.662401,0.000739
25,0.208333,0.003423,-0.370266,-0.000479,-0.928919,1.774551,0.533080,-6.661798,0.000755
26,0.216667,0.003232,-0.370387,-0.000430,-0.928872,1.773917,0.532952,-6.661236,0.000723
27,0.225000,0.003805,-0.370966,-0.000230,-0.928639,1.773620,0.533064,-6.660412,0.000700
