Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_003,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-07-11 03.32.50.899 下午,Total Frames in Take,1740,Total Exported Frames,1740,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV
,ID,"3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,0.002283,0.305671,-0.000039,-0.952135,1.807341,0.529958,-6.710520,0.001220
1,0.008333,0.002254,0.305615,0.000166,-0.952152,1.806875,0.530068,-6.710112,0.001254
2,0.016667,0.002168,0.305543,0.000243,-0.952176,1.806407,0.530154,-6.709736,0.001222
3,0.025000,0.002094,0.305602,0.000380,-0.952157,1.805928,0.530243,-6.709321,0.001205
4,0.033333,0.002440,0.305413,0.001173,-0.952216,1.805574,0.530596,-6.708829,0.001292
5,0.041667,0.002298,0.305423,0.001428,-0.952213,1.805022,0.530620,-6.708440,0.001256
6,0.050000,0.001765,0.305701,0.001015,-0.952125,1.804396,0.530471,-6.708074,0.001142
7,0.058333,0.001668,0.305767,0.001131,-0.952104,1.803901,0.530529,-6.707652,0.001144
8,0.066667,0.002034,0.305571,0.001906,-0.952165,1.803513,0.530899,-6.707141,0.001253
9,0.075000,0.002064,0.305565,0.001965,-0.952167,1.803056,0.531064,-6.706627,0.001281
10,0.083333,0.001835,0.305702,0.001966,-0.952123,1.802491,0.531099,-6.706211,0.001310
11,0.091667,0.001166,0.305951,0.001424,-0.952045,1.801826,0.530879,-6.705881,0.001215
12,0.100000,0.001722,0.305696,0.002375,-0.952125,1.801458,0.531209,-6.705316,0.001311
13,0.108333,0.001619,0.305730,0.002559,-0.952113,1.800971,0.531306,-6.704833,0.001305
14,0.116667,0.001206,0.305915,0.002335,-0.952055,1.800347,0.531176,-6.704454,0.001149
15,0.125000,0.001211,0.305951,0.002288,-0.952044,1.799882,0.531304,-6.703876,0.001241
16,0.133333,0.001779,0.305699,0.003178,-0.952121,1.799581,0.531678,-6.703328,0.001285
17,0.141667,0.001124,0.305992,0.002685,-0.952030,1.798935,0.531479,-6.702920,0.001257
18,0.150000,0.001079,0.306060,0.002755,-0.952008,1.798378,0.531523,-6.702379,0.001258
19,0.158333,0.000823,0.306211,0.002686,-0.951960,1.797779,0.531500,-6.701939,0.001250
20,0.166667,0.001360,0.305975,0.003842,-0.952031,1.797377,0.531777,-6.701363,0.001232
21,0.175000,0.001522,0.305877,0.004169,-0.952061,1.796931,0.531921,-6.700806,0.001239
22,0.183333,,,,,,,,
23,0.191667,0.001005,0.306206,0.003593,-0.951958,1.795701,0.531861,-6.699797,0.001228
24,0.200000,0.000978,0.306177,0.003716,-0.951967,1.795178,0.531914,-6.699255,0.001242
25,0.208333,0.001413,0.306059,0.004515,-0.952001,1.794753,0.532139,-6.698633,0.001310
26,0.216667,0.000953,0.306254,0.004135,-0.951940,1.794152,0.532004,-6.698131,0.001236
27,0.225000,0.000980,0.306233,0.004186,-0.951947,1.793608,0.532090,-6.697572,0.001263
28,0.233333,0.001076,0.306294,0.004399,-0.951926,1.793079,0.532133,-6.696990,0.001228
