Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_024,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-07-11 02.57.19.605 下午,Total Frames in Take,6053,Total Exported Frames,6053,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV
,ID,"3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,0.001174,-0.703345,-0.000251,-0.710848,-1.467402,0.526670,-5.340986,0.000838
1,0.008333,0.001054,-0.704198,-0.000330,-0.710003,-1.467419,0.526657,-5.340940,0.000841
2,0.016667,0.000974,-0.705136,-0.000371,-0.709071,-1.467483,0.526635,-5.340934,0.000834
3,0.025000,0.000875,-0.706020,-0.000558,-0.708192,-1.467525,0.526623,-5.340939,0.000842
4,0.033333,0.000847,-0.706891,-0.000611,-0.707321,-1.467568,0.526580,-5.340903,0.000849
5,0.041667,0.000821,-0.707784,-0.000752,-0.706428,-1.467587,0.526551,-5.340839,0.000850
6,0.050000,0.000909,-0.708691,-0.000375,-0.705519,-1.467606,0.526380,-5.340813,0.000931
7,0.058333,0.000715,-0.709695,-0.000961,-0.704509,-1.467731,0.526551,-5.340773,0.000950
8,0.066667,0.000735,-0.710614,-0.001039,-0.703581,-1.467743,0.526537,-5.340724,0.000948
9,0.075000,0.001106,-0.711292,-0.000242,-0.702895,-1.467741,0.526262,-5.340432,0.001063
10,0.083333,0.001094,-0.712214,-0.000345,-0.701962,-1.467793,0.526256,-5.340391,0.001091
11,0.091667,0.000676,-0.713474,-0.001341,-0.700680,-1.467918,0.526534,-5.340643,0.000993
12,0.100000,0.000716,-0.714492,-0.001478,-0.699642,-1.467964,0.526525,-5.340595,0.001012
13,0.108333,0.000487,-0.715385,-0.001612,-0.698729,-1.467961,0.526731,-5.340861,0.000701
14,0.116667,0.000494,-0.716393,-0.001661,-0.697695,-1.467996,0.526725,-5.340810,0.000726
15,0.125000,0.000534,-0.717407,-0.001832,-0.696651,-1.467996,0.526732,-5.340796,0.000704
16,0.133333,0.000189,-0.718344,-0.001519,-0.695686,-1.468395,0.526843,-5.340801,0.000964
17,0.141667,0.000258,-0.719343,-0.001528,-0.694653,-1.468466,0.526889,-5.340814,0.001054
18,0.150000,0.000735,-0.720462,-0.001869,-0.693491,-1.468112,0.526747,-5.340674,0.000690
19,0.158333,0.000727,-0.721475,-0.002017,-0.692437,-1.468130,0.526784,-5.340660,0.000689
20,0.166667,0.000729,-0.722491,-0.001974,-0.691377,-1.468197,0.526821,-5.340634,0.000701
21,0.175000,0.000751,-0.723548,-0.002062,-0.690271,-1.468190,0.526845,-5.340568,0.000714
22,0.183333,0.000826,-0.724619,-0.002094,-0.689146,-1.468252,0.526880,-5.340555,0.000688
23,0.191667,0.000921,-0.725647,-0.002101,-0.688063,-1.468290,0.526935,-5.340500,0.000725
24,0.200000,,,,,,,,
25,0.208333,0.001028,-0.727756,-0.002068,-0.685832,-1.468360,0.527009,-5.340427,0.000719
26,0.216667,0.001018,-0.728787,-0.002083,-0.684737,-1.468373,0.527085,-5.340410,0.000723
27,0.225000,0.001223,-0.729934,-0.002033,-0.683513,-1.468459,0.527107,-5.340377,0.000728
