Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_025,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-07-11 02.58.35.475 下午,Total Frames in Take,6042,Total Exported Frames,6042,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local
,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,,,,,,,,,,,,
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,,,,,,,,,,,,
,ID,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,,,,,,,,,,,,
0,0,-0.00469,0.677708,-0.001485,0.735315,-1.203743,0.52776,-5.556474,0.001087,,,,,,,,,,,,
1,0.008333,-0.004272,0.675358,-0.002338,0.737474,-1.204857,0.528057,-5.556383,0.00109,,,,,,,,,,,,
2,0.016667,-0.004193,0.674578,-0.002222,0.738189,-1.204819,0.527997,-5.556366,0.00105,,,,,,,,,,,,
3,0.025,-0.004165,0.673768,-0.002142,0.738928,-1.20475,0.527935,-5.556342,0.001019,,,,,,,,,,,,
4,0.033333,-0.004372,0.674456,-0.000951,0.738301,-1.203736,0.527656,-5.556478,0.000828,,,,,,,,,,,,
5,0.041667,-0.002361,0.67277,-0.001049,0.739847,-1.204239,0.52739,-5.556111,0.001191,,,,,,,,,,,,
6,0.05,-0.003484,0.672404,-0.000705,0.740176,-1.203982,0.527512,-5.556285,0.000967,,,,,,,,,,,,
7,0.058333,-0.002133,0.671027,-0.000739,0.741429,-1.204126,0.527274,-5.556028,0.001086,,,,,,,,,,,,
8,0.066667,-0.002029,0.670132,-0.000639,0.742239,-1.204092,0.527207,-5.556009,0.001076,,,,,,,,,,,,
9,0.075,-0.001925,0.669122,-0.000454,0.74315,-1.204135,0.527127,-5.555877,0.001182,,,,,,,,,,,,
10,0.083333,-0.001833,0.668245,-0.000377,0.743939,-1.204134,0.527068,-5.55572,0.001233,,,,,,,,,,,,
11,0.091667,-0.00253,0.66736,-0.000583,0.744731,-1.204086,0.527178,-5.556082,0.001101,,,,,,,,,,,,
12,0.1,-0.001799,0.666346,-0.000042,0.74564,-1.204068,0.526984,-5.555648,0.001226,,,,,,,,,,,,
13,0.108333,-0.00174,0.665354,0.000117,0.746526,-1.203985,0.526915,-5.555722,0.001171,,,,,,,,,,,,
14,0.116667,-0.001674,0.664449,0.000174,0.747332,-1.203987,0.526854,-5.555578,0.001217,,,,,,,,,,,,
15,0.125,-0.001619,0.663467,0.00029,0.748203,-1.203909,0.526793,-5.555639,0.001162,,,,,,,,,,,,
16,0.133333,-0.001615,0.66239,0.000422,0.749157,-1.203861,0.526735,-5.555606,0.001163,,,,,,,,,,,,
17,0.141667,-0.001632,0.661335,0.000512,0.750089,-1.203823,0.526716,-5.555597,0.00119,,,,,,,,,,,,
18,0.15,-0.001547,0.660352,0.000608,0.750955,-1.203809,0.526659,-5.555431,0.001225,,,,,,,,,,,,
19,0.158333,-0.001544,0.659269,0.000659,0.751906,-1.203772,0.526577,-5.555347,0.001234,,,,,,,,,,,,
20,0.166667,-0.001514,0.658306,0.000766,0.752749,-1.20365,0.526534,-5.555496,0.00112,,,,,,,,,,,,
21,0.175,-0.001509,0.65709,0.000906,0.75381,-1.203642,0.526477,-5.555426,0.001188,,,,,,,,,,,,
22,0.183333,-0.001512,0.656019,0.000979,0.754742,-1.203617,0.526439,-5.55537,0.001179,,,,,,,,,,,,
23,0.191667,-0.001494,0.654931,0.001091,0.755686,-1.20367,0.526387,-5.555229,0.001181,,,,,,,,,,,,
24,0.2,-0.001429,0.653881,0.001156,0.756596,-1.203594,0.526326,-5.555287,0.001127,,,,,,,,,,,,
25,0.208333,0.001457,-0.652634,-0.00122,-0.757671,-1.203519,0.526275,-5.555269,0.001152,,,,,,,,,,,,
26,0.216667,,,,,,,,,,,,,,,,,,,,
27,0.225,0.001513,-0.650402,-0.001385,-0.759588,-1.203426,0.526154,-5.555282,0.001084,,,,,,,,,,,,
28,0.233333,0.001552,-0.649109,-0.001397,-0.760693,-1.2034,0.52608,-5.555167,0.001142,,,,,,,,,,,,
29,0.241667,0.001608,-0.648072,-0.001456,-0.761576,-1.203338,0.526021,-5.55521,0.001057,,,,,,,,,,,,
30,0.25,0.001671,-0.646799,-0.001458,-0.762657,-1.203388,0.525983,-5.555005,0.001218,,,,,,,,,,,,
31,0.258333,0.001708,-0.645553,-0.001534,-0.763712,-1.203371,0.525941,-5.554961,0.001189,,,,,,,,,,,,
32,0.266667,0.001848,-0.644463,-0.001527,-0.764632,-1.203272,0.525941,-5.555129,0.001105,,,,,,,,,,,,
33,0.275,0.001912,-0.643109,-0.001573,-0.76577,-1.203287,0.525863,-5.554921,0.001209,,,,,,,,,,,,
34,0.283333,0.001946,-0.641894,-0.001594,-0.766789,-1.203225,0.525788,-5.554895,0.001218,,,,,,,,,,,,
35,0.291667,0.002055,-0.640742,-0.001606,-0.767752,-1.203112,0.525786,-5.555068,0.001131,,,,,,,,,,,,
36,0.3,0.002074,-0.639318,-0.001645,-0.768938,-1.203143,0.52574,-5.554889,0.001217,,,,,,,,,,,,
37,0.308333,0.00216,-0.638175,-0.001694,-0.769886,-1.203013,0.525707,-5.554904,0.00111,,,,,,,,,,,,
38,0.316667,0.002301,-0.636779,-0.001717,-0.771041,-1.202965,0.525666,-5.554959,0.001112,,,,,,,,,,,,
39,0.325,0.003123,-0.635385,-0.001378,-0.772188,-1.20295,0.525798,-5.555343,0.00093,,,,,,,,,,,,
40,0.333333,0.003199,-0.634097,-0.001381,-0.773245,-1.202857,0.525777,-5.555315,0.000897,,,,,,,,,,,,
41,0.341667,0.003214,-0.632794,-0.001425,-0.774312,-1.202814,0.525725,-5.555359,0.000852,,,,,,,,,,,,
42,0.35,0.003412,-0.631396,-0.001354,-0.775452,-1.202783,0.525679,-5.555325,0.000928,,,,,,,,,,,,
43,0.358333,0.003858,-0.630249,-0.001403,-0.776382,-1.20274,0.525757,-5.555603,0.000586,,,,,,,,,,,,
44,0.366667,0.00393,-0.628837,-0.001421,-0.777526,-1.202723,0.525757,-5.555629,0.000587,,,,,,,,,,,,
45,0.375,0.004008,-0.627428,-0.001373,-0.778663,-1.20266,0.525736,-5.555624,0.000585,,,,,,,,,,,,
46,0.383333,0.004172,-0.626079,-0.001304,-0.779747,-1.202627,0.525686,-5.555624,0.000558,,,,,,,,,,,,
47,0.391667,0.004305,-0.624618,-0.001257,-0.780917,-1.2026,0.525669,-5.55567,0.000555,,,,,,,,,,,,
48,0.4,0.004426,-0.623222,-0.00125,-0.782032,-1.202496,0.525662,-5.555673,0.000574,,,,,,,,,,,,
49,0.408333,0.004547,-0.621764,-0.00124,-0.78319,-1.202467,0.525669,-5.555674,0.000584,,,,,,,,,,,,
50,0.416667,0.004659,-0.620296,-0.001178,-0.784353,-1.202412,0.525634,-5.555696,0.00058,,,,,,,,,,,,
51,0.425,0.004825,-0.618847,-0.001087,-0.785496,-1.202362,0.525607,-5.555701,0.000558,,,,,,,,,,,,
52,0.433333,0.005027,-0.617358,-0.001034,-0.786666,-1.202288,0.525601,-5.555719,0.00053,,,,,,,,,,,,
53,0.441667,0.005086,-0.615874,-0.000997,-0.787828,-1.20219,0.525631,-5.555737,0.000558,,,,,,,,,,,,
54,0.45,0.005236,-0.61432,-0.000953,-0.789039,-1.202166,0.525631,-5.555763,0.000564,,,,,,,,,,,,
55,0.458333,0.005412,-0.612852,-0.00089,-0.790179,-1.202107,0.525642,-5.555782,0.000544,,,,,,,,,,,,
56,0.466667,0.005271,-0.611526,-0.000782,-0.791206,-1.202315,0.525769,-5.55583,0.00101,,,,,,,,,,,,
57,0.475,0.005409,-0.609938,-0.000803,-0.79243,-1.202246,0.525799,-5.555854,0.001003,,,,,,,,,,,,
58,0.483333,0.005434,-0.608199,-0.00081,-0.793765,-1.201995,0.525906,-5.556081,0.000328,,,,,,,,,,,,
59,0.491667,0.005931,-0.606585,-0.000641,-0.794996,-1.201878,0.525693,-5.555878,0.000522,,,,,,,,,,,,
60,0.5,0.006062,-0.605068,-0.000577,-0.79615,-1.201836,0.525719,-5.55591,0.000541,,,,,,,,,,,,
61,0.508333,0.006079,-0.603425,-0.000529,-0.797396,-1.201749,0.525744,-5.555945,0.000577,,,,,,,,,,,,
