Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_013,Take Notes,,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-07-11 02.35.29.076 下午,Total Frames in Take,1101,Total Exported Frames,1101,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local
,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,,,,,,,,,,,,
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,,,,,,,,,,,,
,ID,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,3BFF0C49E20A11EB1371DA7D1A00D188,,,,,,,,,,,,
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,,,,,,,,,,,,
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,,,,,,,,,,,,
0,0,-0.01181,0.403493,-0.008045,0.914871,1.84209,0.536849,-6.754385,0.000779,,,,,,,,,,,,
1,0.008333,-0.01192,0.403373,-0.007973,0.914923,1.841452,0.536782,-6.753429,0.000823,,,,,,,,,,,,
2,0.016667,-0.011933,0.403312,-0.007799,0.914952,1.840809,0.536746,-6.752439,0.00081,,,,,,,,,,,,
3,0.025,-0.012007,0.403254,-0.00761,0.914978,1.840159,0.536777,-6.751464,0.000814,,,,,,,,,,,,
4,0.033333,-0.011251,0.402666,-0.007304,0.915249,1.839261,0.536589,-6.7506,0.000825,,,,,,,,,,,,
5,0.041667,-0.01123,0.402581,-0.007169,0.915287,1.838588,0.536541,-6.74957,0.000846,,,,,,,,,,,,
6,0.05,-0.01119,0.402526,-0.006943,0.915314,1.837865,0.53651,-6.748537,0.000851,,,,,,,,,,,,
7,0.058333,-0.012083,0.402876,-0.006958,0.915149,1.837404,0.536579,-6.747347,0.000838,,,,,,,,,,,,
8,0.066667,-0.011048,0.402328,-0.006613,0.915405,1.836177,0.536235,-6.746571,0.000831,,,,,,,,,,,,
9,0.075,-0.011943,0.402702,-0.006507,0.91523,1.83596,0.536447,-6.745217,0.000844,,,,,,,,,,,,
10,0.083333,-0.011915,0.402608,-0.006409,0.915272,1.83523,0.536357,-6.744116,0.000816,,,,,,,,,,,,
11,0.091667,-0.011834,0.402573,-0.006192,0.915291,1.834457,0.536288,-6.743021,0.000855,,,,,,,,,,,,
12,0.1,-0.010775,0.402038,-0.005777,0.915541,1.833182,0.535959,-6.742187,0.000855,,,,,,,,,,,,
13,0.108333,-0.011749,0.402427,-0.00575,0.915359,1.832931,0.536083,-6.740792,0.000878,,,,,,,,,,,,
14,0.116667,-0.011573,0.402397,-0.005506,0.915375,1.832143,0.535992,-6.739654,0.000843,,,,,,,,,,,,
15,0.125,-0.010632,0.401835,-0.005153,0.915636,1.831133,0.535829,-6.738624,0.000845,,,,,,,,,,,,
16,0.133333,-0.010565,0.401818,-0.00495,0.915645,1.830324,0.535712,-6.737423,0.000857,,,,,,,,,,,,
17,0.141667,-0.010421,0.401769,-0.004818,0.915669,1.829512,0.535616,-6.736238,0.000848,,,,,,,,,,,,
18,0.15,-0.011243,0.402184,-0.004734,0.915477,1.828981,0.535625,-6.734912,0.00087,,,,,,,,,,,,
19,0.158333,-0.010262,0.401672,-0.004331,0.915716,1.827894,0.535411,-6.733813,0.000855,,,,,,,,,,,,
20,0.166667,-0.01088,0.402063,-0.004266,0.915537,1.827299,0.535389,-6.732458,0.00085,,,,,,,,,,,,
21,0.175,-0.010001,0.401542,-0.003856,0.915778,1.826211,0.535113,-6.731354,0.00086,,,,,,,,,,,,
22,0.183333,-0.010598,0.401957,-0.003901,0.915589,1.825614,0.535103,-6.72996,0.00088,,,,,,,,,,,,
23,0.191667,0.009627,-0.401405,0.003485,-0.915843,1.824498,0.534851,-6.728832,0.000928,,,,,,,,,,,,
24,0.2,,,,,,,,,,,,,,,,,,,,
25,0.208333,0.009041,-0.401464,0.003288,-0.915824,1.823142,0.534729,-6.726068,0.000475,,,,,,,,,,,,
26,0.216667,0.009107,-0.401299,0.002988,-0.915897,1.822099,0.534467,-6.724938,0.000778,,,,,,,,,,,,
27,0.225,0.009661,-0.401762,0.002995,-0.915688,1.821453,0.534424,-6.723394,0.000681,,,,,,,,,,,,
28,0.233333,0.008556,-0.401303,0.002846,-0.915901,1.820451,0.534287,-6.722121,0.000505,,,,,,,,,,,,
29,0.241667,0.008528,-0.401076,0.002515,-0.916001,1.819415,0.533983,-6.720973,0.000769,,,,,,,,,,,,
30,0.25,0.008764,-0.401661,0.002695,-0.915743,1.818889,0.534128,-6.719276,0.000343,,,,,,,,,,,,
31,0.258333,0.007078,-0.401048,0.003703,-0.916022,1.817784,0.53451,-6.718155,0.000771,,,,,,,,,,,,
32,0.266667,0.007968,-0.400889,0.002051,-0.91609,1.816723,0.533519,-6.716887,0.000778,,,,,,,,,,,,
33,0.275,0.007507,-0.400979,0.002113,-0.916054,1.815954,0.53349,-6.71535,0.000515,,,,,,,,,,,,
34,0.283333,0.007381,-0.400945,0.001999,-0.91607,1.815024,0.533264,-6.713965,0.000535,,,,,,,,,,,,
35,0.291667,0.006948,-0.400791,0.002213,-0.91614,1.813928,0.533201,-6.712544,0.001129,,,,,,,,,,,,
36,0.3,0.006954,-0.400682,0.001734,-0.916189,1.813055,0.532925,-6.711246,0.000769,,,,,,,,,,,,
37,0.308333,0.006824,-0.400715,0.001822,-0.916175,1.812307,0.532821,-6.709825,0.000547,,,,,,,,,,,,
38,0.316667,0.006696,-0.40061,0.001656,-0.916223,1.811433,0.53268,-6.708432,0.000543,,,,,,,,,,,,
39,0.325,0.006531,-0.400565,0.001738,-0.916243,1.810469,0.532551,-6.707016,0.000545,,,,,,,,,,,,
40,0.333333,0.00633,-0.400417,0.001589,-0.91631,1.809347,0.532273,-6.705636,0.000743,,,,,,,,,,,,
41,0.341667,0.006156,-0.400327,0.00153,-0.91635,1.808416,0.532104,-6.704229,0.00071,,,,,,,,,,,,
42,0.35,0.005933,-0.399904,0.0011,-0.916537,1.807226,0.531861,-6.702897,0.00081,,,,,,,,,,,,
43,0.358333,0.005747,-0.399812,0.001099,-0.916578,1.806292,0.53166,-6.701504,0.000736,,,,,,,,,,,,
44,0.366667,0.005773,-0.400138,0.00161,-0.916435,1.805575,0.531633,-6.699981,0.000729,,,,,,,,,,,,
45,0.375,0.00551,-0.399654,0.001154,-0.916649,1.804375,0.531345,-6.698671,0.000763,,,,,,,,,,,,
46,0.383333,0.005557,-0.399956,0.001697,-0.916516,1.80371,0.531405,-6.697095,0.000799,,,,,,,,,,,,
47,0.391667,0.00541,-0.399878,0.001782,-0.916551,1.802746,0.531207,-6.695686,0.000736,,,,,,,,,,,,
48,0.4,0.005302,-0.399794,0.001869,-0.916588,1.801792,0.531091,-6.694255,0.000751,,,,,,,,,,,,
49,0.408333,0.005193,-0.399664,0.001918,-0.916645,1.800855,0.530966,-6.692813,0.000759,,,,,,,,,,,,
50,0.416667,0.005007,-0.399213,0.001628,-0.916843,1.799637,0.530682,-6.69149,0.000745,,,,,,,,,,,,
51,0.425,0.0049,-0.399144,0.001786,-0.916873,1.798663,0.530546,-6.690058,0.000748,,,,,,,,,,,,
52,0.433333,0.004837,-0.399003,0.001818,-0.916935,1.797691,0.530409,-6.688631,0.000768,,,,,,,,,,,,
53,0.441667,0.004931,-0.399327,0.002508,-0.916792,1.797012,0.530455,-6.687078,0.000742,,,,,,,,,,,,
54,0.45,0.004719,-0.398839,0.002179,-0.917006,1.79577,0.530163,-6.685766,0.000754,,,,,,,,,,,,
55,0.458333,0.004697,-0.398764,0.002295,-0.917039,1.794804,0.530047,-6.684329,0.000733,,,,,,,,,,,,
56,0.466667,0.004892,-0.39902,0.003077,-0.916924,1.794064,0.530102,-6.682774,0.000725,,,,,,,,,,,,
57,0.475,0.004808,-0.398946,0.003227,-0.916956,1.793067,0.529961,-6.681359,0.000703,,,,,,,,,,,,
58,0.483333,0.004759,-0.398764,0.003384,-0.917035,1.792052,0.529897,-6.679945,0.000737,,,,,,,,,,,,
59,0.491667,0.004821,-0.39867,0.003655,-0.917075,1.791083,0.529803,-6.678482,0.00071,,,,,,,,,,,,
60,0.5,0.004816,-0.398601,0.003909,-0.917104,1.790114,0.529708,-6.67705,0.000699,,,,,,,,,,,,
61,0.508333,0.004796,-0.398452,0.004051,-0.917168,1.789101,0.529624,-6.675617,0.000721,,,,,,,,,,,,
62,0.516667,0.004887,-0.398376,0.004301,-0.917199,1.788154,0.529543,-6.674159,0.000725,,,,,,,,,,,,
63,0.525,0.00483,-0.397906,0.004081,-0.917404,1.786886,0.529304,-6.672831,0.000732,,,,,,,,,,,,
