Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_005,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-07-11 02.28.09.744 下午,Total Frames in Take,2250,Total Exported Frames,2250,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV
,ID,"3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,-0.004291,0.952214,-0.002679,0.305390,1.621456,0.534387,-6.573081,0.000704
1,0.008333,-0.004180,0.952236,-0.002548,0.305325,1.621145,0.534435,-6.572722,0.000686
2,0.016667,-0.004100,0.952241,-0.002487,0.305309,1.620815,0.534454,-6.572381,0.000698
3,0.025000,-0.004003,0.952252,-0.002381,0.305278,1.620522,0.534508,-6.572056,0.000691
4,0.033333,-0.003881,0.952256,-0.002250,0.305268,1.620197,0.534551,-6.571722,0.000691
5,0.041667,-0.003784,0.952261,-0.002105,0.305253,1.619868,0.534624,-6.571371,0.000707
6,0.050000,-0.003733,0.952276,-0.001971,0.305210,1.619537,0.534664,-6.570991,0.000710
7,0.058333,-0.003665,0.952299,-0.001885,0.305137,1.619223,0.534716,-6.570637,0.000724
8,0.066667,-0.003595,0.952293,-0.001780,0.305160,1.618895,0.534780,-6.570269,0.000722
9,0.075000,-0.003562,0.952300,-0.001684,0.305137,1.618546,0.534839,-6.569904,0.000722
10,0.083333,-0.003512,0.952321,-0.001526,0.305076,1.618204,0.534865,-6.569501,0.000709
11,0.091667,-0.003446,0.952336,-0.001411,0.305029,1.617861,0.534907,-6.569127,0.000714
12,0.100000,-0.003283,0.952339,-0.001301,0.305022,1.617526,0.534963,-6.568747,0.000705
13,0.108333,-0.003179,0.952343,-0.001154,0.305012,1.617187,0.534999,-6.568355,0.000695
14,0.116667,-0.003191,0.952358,-0.001013,0.304964,1.616831,0.535040,-6.567966,0.000718
15,0.125000,-0.003196,0.952371,-0.000870,0.304923,1.616514,0.535060,-6.567591,0.000714
16,0.133333,-0.003155,0.952360,-0.000754,0.304959,1.616176,0.535105,-6.567228,0.000687
17,0.141667,-0.003092,0.952362,-0.000626,0.304954,1.615834,0.535144,-6.566844,0.000688
18,0.150000,-0.002931,0.952470,-0.000968,0.304616,1.615606,0.535374,-6.566314,0.000668
19,0.158333,-0.002845,0.952495,-0.000935,0.304540,1.615257,0.535416,-6.565917,0.000679
20,0.166667,-0.002935,0.952417,-0.000404,0.304784,1.614759,0.535258,-6.565603,0.000701
21,0.175000,-0.002905,0.952416,-0.000283,0.304786,1.614395,0.535243,-6.565224,0.000704
22,0.183333,-0.002950,0.952447,-0.000195,0.304691,1.614027,0.535248,-6.564807,0.000742
23,0.191667,,,,,,,,
24,0.200000,-0.002958,0.952681,-0.000498,0.303958,1.613183,0.535357,-6.563612,0.000896
25,0.208333,-0.002610,0.952567,-0.000067,0.304318,1.612481,0.535148,-6.563411,0.000880
26,0.216667,-0.002530,0.952664,-0.000411,0.304014,1.612237,0.535279,-6.562904,0.000860
27,0.225000,-0.003018,0.952709,-0.000384,0.303868,1.612110,0.535348,-6.562415,0.000909
28,0.233333,-0.002845,0.952503,0.000202,0.304517,1.611872,0.535321,-6.562416,0.000730
