Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_003,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-07-11 01.16.05.954 下午,Total Frames in Take,1661,Total Exported Frames,1661,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV
,ID,"E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,-0.000549,0.359038,0.001239,-0.933322,1.700491,0.535659,-6.659842,0.001729
1,0.008333,-0.000536,0.358896,0.001144,-0.933377,1.700105,0.535663,-6.659513,0.001695
2,0.016667,-0.000564,0.358762,0.001026,-0.933429,1.699738,0.535712,-6.659145,0.001700
3,0.025000,-0.000590,0.358679,0.000886,-0.933460,1.699366,0.535736,-6.658826,0.001719
4,0.033333,-0.000586,0.358577,0.000796,-0.933500,1.699000,0.535748,-6.658488,0.001701
5,0.041667,-0.000582,0.358453,0.000689,-0.933547,1.698641,0.535760,-6.658150,0.001680
6,0.050000,-0.000573,0.358349,0.000645,-0.933587,1.698221,0.535784,-6.657785,0.001705
7,0.058333,-0.000648,0.358220,0.000508,-0.933637,1.697822,0.535795,-6.657433,0.001742
8,0.066667,0.000008,0.357521,0.001398,-0.933904,1.697728,0.536021,-6.656875,0.001564
9,0.075000,0.000360,0.356955,0.001719,-0.934120,1.697420,0.536128,-6.656242,0.001783
10,0.083333,-0.000900,0.357908,0.000251,-0.933757,1.696600,0.535781,-6.656300,0.001710
11,0.091667,-0.000923,0.357858,0.000123,-0.933775,1.696197,0.535798,-6.655905,0.001752
12,0.100000,-0.000856,0.357751,0.000090,-0.933817,1.695823,0.535825,-6.655504,0.001734
13,0.108333,-0.000900,0.357645,-0.000019,-0.933857,1.695396,0.535821,-6.655077,0.001705
14,0.116667,-0.000973,0.357490,-0.000115,-0.933916,1.694973,0.535821,-6.654657,0.001746
15,0.125000,-0.000251,0.356745,0.000834,-0.934201,1.694889,0.536058,-6.654021,0.001588
16,0.133333,-0.000192,0.356575,0.000811,-0.934267,1.694492,0.536062,-6.653599,0.001521
17,0.141667,-0.001072,0.357112,-0.000244,-0.934061,1.693753,0.535837,-6.653325,0.001720
18,0.150000,-0.000309,0.356389,0.000717,-0.934337,1.693640,0.536042,-6.652676,0.001578
19,0.158333,-0.001026,0.356933,-0.000313,-0.934129,1.692894,0.535818,-6.652411,0.001678
20,0.166667,-0.001099,0.356856,-0.000349,-0.934159,1.692457,0.535819,-6.651948,0.001719
21,0.175000,-0.001166,0.356745,-0.000414,-0.934201,1.692021,0.535822,-6.651457,0.001745
22,0.183333,,,,,,,,
23,0.191667,-0.001143,0.356485,-0.000440,-0.934300,1.691228,0.535811,-6.650484,0.001744
24,0.200000,-0.001214,0.356362,-0.000426,-0.934347,1.690769,0.535787,-6.649952,0.001766
25,0.208333,-0.001127,0.356244,-0.000458,-0.934392,1.690355,0.535753,-6.649448,0.001708
26,0.216667,-0.001152,0.356169,-0.000392,-0.934421,1.689925,0.535771,-6.648944,0.001721
27,0.225000,-0.001191,0.356062,-0.000379,-0.934462,1.689501,0.535750,-6.648395,0.001736
28,0.233333,-0.001220,0.356042,-0.000333,-0.934469,1.689069,0.535728,-6.647884,0.001670
29,0.241667,-0.001309,0.355970,-0.000370,-0.934497,1.688658,0.535703,-6.647365,0.001726
30,0.250000,-0.001298,0.355851,-0.000318,-0.934542,1.688203,0.535701,-6.646773,0.001767
31,0.258333,-0.001238,0.355689,-0.000216,-0.934603,1.687783,0.535679,-6.646249,0.001733
32,0.266667,-0.001295,0.355575,-0.000199,-0.934647,1.687353,0.535663,-6.645684,0.001737
33,0.275000,-0.001278,0.355450,-0.000160,-0.934695,1.686917,0.535636,-6.645084,0.001712
34,0.283333,-0.001311,0.355395,-0.000094,-0.934715,1.686468,0.535590,-6.644546,0.001696
35,0.291667,-0.001293,0.355297,-0.000073,-0.934753,1.686028,0.535564,-6.643959,0.001716
36,0.300000,-0.001234,0.355205,0.000066,-0.934788,1.685575,0.535516,-6.643357,0.001657
37,0.308333,-0.001235,0.355090,0.000138,-0.934831,1.685158,0.535491,-6.642798,0.001678
38,0.316667,-0.001223,0.355033,0.000262,-0.934853,1.684681,0.535460,-6.642179,0.001717
39,0.325000,-0.001326,0.354958,0.000217,-0.934881,1.684237,0.535449,-6.641564,0.001740
40,0.333333,-0.001374,0.354861,0.000221,-0.934918,1.683819,0.535415,-6.640973,0.001753
41,0.341667,-0.001317,0.354686,0.000292,-0.934984,1.683373,0.535347,-6.640315,0.001723
42,0.350000,-0.001288,0.354614,0.000382,-0.935012,1.682946,0.535327,-6.639719,0.001726
43,0.358333,-0.000088,0.353450,0.001837,-0.935452,1.682880,0.535608,-6.638648,0.001832
44,0.366667,-0.001288,0.354542,0.000655,-0.935039,1.681998,0.535212,-6.638445,0.001734
45,0.375000,-0.001268,0.354388,0.000685,-0.935098,1.681569,0.535195,-6.637849,0.001735
46,0.383333,-0.000117,0.353177,0.002139,-0.935554,1.681530,0.535491,-6.636718,0.001813
47,0.391667,-0.000369,0.353508,0.001881,-0.935430,1.681037,0.535317,-6.636353,0.001584
48,0.400000,-0.000394,0.353385,0.001895,-0.935476,1.680562,0.535254,-6.635667,0.001560
49,0.408333,-0.001259,0.353954,0.000983,-0.935261,1.679818,0.535032,-6.635199,0.001747
50,0.416667,-0.001199,0.353884,0.001108,-0.935288,1.679365,0.534990,-6.634576,0.001675
51,0.425000,-0.001237,0.353856,0.001222,-0.935298,1.678843,0.534917,-6.633872,0.001725
52,0.433333,-0.001235,0.353797,0.001273,-0.935321,1.678396,0.534842,-6.633237,0.001733
53,0.441667,-0.000389,0.352997,0.002378,-0.935621,1.678266,0.535004,-6.632370,0.001568
54,0.450000,-0.001217,0.353598,0.001465,-0.935396,1.677479,0.534759,-6.631880,0.001739
55,0.458333,-0.001213,0.353530,0.001601,-0.935421,1.677004,0.534704,-6.631208,0.001706
56,0.466667,-0.001286,0.353440,0.001627,-0.935455,1.676518,0.534643,-6.630492,0.001763
57,0.475000,-0.001247,0.353345,0.001677,-0.935491,1.676067,0.534581,-6.629848,0.001724
58,0.483333,-0.000452,0.352680,0.002761,-0.935740,1.675876,0.534725,-6.628951,0.001617
59,0.491667,-0.001232,0.353276,0.001839,-0.935516,1.675101,0.534442,-6.628474,0.001701
60,0.500000,-0.001280,0.353206,0.001931,-0.935543,1.674598,0.534380,-6.627740,0.001742
61,0.508333,-0.001222,0.353111,0.002035,-0.935579,1.674099,0.534326,-6.627029,0.001761
62,0.516667,-0.001236,0.352983,0.002043,-0.935627,1.673613,0.534256,-6.626357,0.001761
63,0.525000,-0.000443,0.352275,0.003079,-0.935891,1.673457,0.534376,-6.625447,0.001611
64,0.533333,-0.001310,0.352847,0.002047,-0.935678,1.672692,0.534158,-6.624938,0.001748
65,0.541667,-0.001375,0.352400,0.002069,-0.935846,1.671845,0.534079,-6.623922,0.001430
66,0.550000,-0.001281,0.352708,0.002102,-0.935730,1.671686,0.534027,-6.623490,0.001731
67,0.558333,0.000460,0.350291,0.003714,-0.936633,1.670746,0.534104,-6.621859,0.001436
68,0.566667,-0.000435,0.351928,0.003230,-0.936022,1.670975,0.534118,-6.621837,0.001588
69,0.575000,-0.000551,0.351831,0.003138,-0.936058,1.670476,0.534047,-6.621079,0.001606
70,0.583333,-0.001377,0.352371,0.002120,-0.935857,1.669670,0.533795,-6.620548,0.001720
71,0.591667,-0.000697,0.351696,0.003129,-0.936109,1.669473,0.533957,-6.619602,0.001605
72,0.600000,-0.000303,0.351165,0.003483,-0.936307,1.669063,0.534052,-6.618628,0.001824
73,0.608333,-0.000675,0.351585,0.003103,-0.936150,1.668417,0.533833,-6.618097,0.001612
74,0.616667,-0.001488,0.352152,0.002148,-0.935939,1.667565,0.533556,-6.617523,0.001727
75,0.625000,-0.000697,0.351445,0.003212,-0.936203,1.667387,0.533747,-6.616623,0.001599
76,0.633333,-0.000404,0.350913,0.003497,-0.936401,1.666926,0.533798,-6.615569,0.001807
77,0.641667,-0.000748,0.351260,0.003206,-0.936272,1.666338,0.533610,-6.615091,0.001585
78,0.650000,-0.001627,0.351871,0.002142,-0.936045,1.665453,0.533329,-6.614442,0.001729
79,0.658333,-0.001648,0.351907,0.002103,-0.936031,1.664880,0.533292,-6.613676,0.001763
80,0.666667,-0.001620,0.351769,0.002066,-0.936083,1.664347,0.533233,-6.612883,0.001710
81,0.675000,-0.001682,0.351690,0.002034,-0.936113,1.663835,0.533212,-6.612114,0.001769
82,0.683333,-0.001652,0.351579,0.002097,-0.936154,1.663274,0.533119,-6.611272,0.001730
83,0.691667,-0.001746,0.351529,0.001958,-0.936173,1.662734,0.533081,-6.610475,0.001752
84,0.700000,-0.000928,0.350787,0.002859,-0.936450,1.662487,0.533249,-6.609466,0.001594
85,0.708333,-0.001723,0.351412,0.001730,-0.936218,1.661608,0.533016,-6.608875,0.001753
86,0.716667,-0.001725,0.351010,0.001926,-0.936368,1.660729,0.532929,-6.607791,0.001398
87,0.725000,-0.001759,0.351254,0.001753,-0.936277,1.660489,0.532903,-6.607204,0.001745
88,0.733333,-0.001030,0.350520,0.002679,-0.936551,1.660229,0.533101,-6.606180,0.001580
89,0.741667,-0.000647,0.350005,0.002896,-0.936743,1.659748,0.533219,-6.605100,0.001840
90,0.750000,0.000058,0.348679,0.003096,-0.937237,1.658363,0.532956,-6.603827,0.001443
91,0.758333,-0.001815,0.350974,0.001438,-0.936382,1.658193,0.532748,-6.603848,0.001730
92,0.766667,-0.001103,0.350288,0.002409,-0.936638,1.657924,0.532956,-6.602818,0.001573
93,0.775000,-0.000744,0.349769,0.002698,-0.936832,1.657418,0.533064,-6.601724,0.001807
94,0.783333,-0.001866,0.350733,0.001224,-0.936473,1.656411,0.532713,-6.601287,0.001764
95,0.791667,-0.001802,0.350766,0.001179,-0.936461,1.655817,0.532666,-6.600415,0.001747
96,0.800000,-0.001077,0.350025,0.002171,-0.936737,1.655578,0.532883,-6.599371,0.001564
97,0.808333,-0.001941,0.350609,0.001091,-0.936519,1.654666,0.532650,-6.598670,0.001702
98,0.816667,-0.001868,0.350471,0.000982,-0.936571,1.654047,0.532625,-6.597800,0.001748
99,0.825000,-0.000992,0.349842,0.001964,-0.936806,1.653761,0.532844,-6.596724,0.001611
100,0.833333,-0.001850,0.350430,0.000847,-0.936587,1.652839,0.532600,-6.596025,0.001722
101,0.841667,-0.001838,0.350315,0.000848,-0.936630,1.652270,0.532615,-6.595124,0.001704
102,0.850000,-0.001805,0.350224,0.000712,-0.936664,1.651679,0.532594,-6.594261,0.001696
103,0.858333,-0.001720,0.350175,0.000638,-0.936683,1.651055,0.532641,-6.593330,0.001745
104,0.866667,-0.001736,0.350156,0.000543,-0.936690,1.650444,0.532632,-6.592449,0.001743
105,0.875000,-0.001729,0.350038,0.000483,-0.936734,1.649840,0.532612,-6.591533,0.001728
106,0.883333,-0.001678,0.349990,0.000479,-0.936752,1.649226,0.532574,-6.590670,0.001702
107,0.891667,-0.000841,0.349309,0.001235,-0.937006,1.648891,0.532799,-6.589513,0.001609
108,0.900000,-0.001651,0.349917,0.000223,-0.936779,1.647956,0.532683,-6.588814,0.001761
109,0.908333,-0.001639,0.349855,0.000132,-0.936803,1.647339,0.532646,-6.587881,0.001764
110,0.916667,-0.000694,0.349126,0.001148,-0.937075,1.647057,0.532845,-6.586831,0.001585
111,0.925000,-0.000658,0.349141,0.001030,-0.937069,1.646371,0.532863,-6.585886,0.001598
112,0.933333,-0.000420,0.348991,0.001005,-0.937126,1.645870,0.533039,-6.584850,0.001975
113,0.941667,-0.000609,0.349028,0.000965,-0.937111,1.645143,0.532905,-6.584031,0.001581
114,0.950000,-0.000404,0.348517,0.001047,-0.937302,1.644149,0.532808,-6.582799,0.001255
115,0.958333,-0.000468,0.348936,0.000745,-0.937146,1.643826,0.532937,-6.582150,0.001593
116,0.966667,-0.001366,0.349505,-0.000401,-0.936933,1.642850,0.532759,-6.581341,0.001775
117,0.975000,0.000038,0.348052,0.001036,-0.937475,1.642354,0.533023,-6.579787,0.001637
118,0.983333,-0.000339,0.348712,0.000559,-0.937230,1.641909,0.533009,-6.579265,0.001588
119,0.991667,-0.001127,0.348972,-0.000501,-0.937132,1.640615,0.532805,-6.578250,0.001403
120,1.000000,0.000106,0.348125,0.000769,-0.937448,1.640719,0.533242,-6.577112,0.001817
121,1.008333,-0.000236,0.348537,0.000344,-0.937295,1.639949,0.533099,-6.576372,0.001588
122,1.016667,-0.000939,0.349115,-0.000745,-0.937079,1.638962,0.532935,-6.575604,0.001717
123,1.025000,-0.000893,0.349079,-0.000764,-0.937093,1.638297,0.532932,-6.574626,0.001745
124,1.033333,-0.000884,0.349050,-0.000869,-0.937103,1.637634,0.532971,-6.573669,0.001765
125,1.041667,0.000407,0.347884,0.000372,-0.937537,1.637403,0.533389,-6.572228,0.001814
126,1.050000,-0.000714,0.348884,-0.000950,-0.937165,1.636290,0.533067,-6.571722,0.001741
127,1.058333,-0.000661,0.348871,-0.000970,-0.937170,1.635644,0.533077,-6.570716,0.001728
128,1.066667,-0.000677,0.348862,-0.001095,-0.937173,1.634987,0.533126,-6.569725,0.001788
129,1.075000,0.001849,0.346022,0.000786,-0.938224,1.634040,0.533306,-6.568269,0.001989
130,1.083333,0.001129,0.347196,0.000423,-0.937792,1.633764,0.533355,-6.567514,0.002089
131,1.091667,0.001877,0.345915,0.000792,-0.938264,1.632658,0.533303,-6.566288,0.002014
132,1.100000,0.001743,0.345967,0.000553,-0.938245,1.631956,0.533358,-6.565183,0.001758
133,1.108333,0.001318,0.347089,0.000342,-0.937831,1.631746,0.533479,-6.564504,0.002068
134,1.116667,0.002110,0.345719,0.000745,-0.938336,1.630613,0.533461,-6.563252,0.001995
135,1.125000,0.002125,0.345677,0.000658,-0.938351,1.629942,0.533456,-6.562225,0.002005
136,1.133333,0.001384,0.346947,0.000263,-0.937884,1.629686,0.533600,-6.561457,0.002085
