Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_009,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-07-11 01.23.30.709 下午,Total Frames in Take,2027,Total Exported Frames,2027,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV
,ID,"E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188","E3F037E3E20611EB1371DA7D1A00D188"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,0.004134,-0.900078,0.005672,0.435672,1.754961,0.540329,-6.721449,0.000779
1,0.008333,0.002055,-0.899825,0.005309,0.436214,1.755066,0.540704,-6.721148,0.000946
2,0.016667,0.001985,-0.899787,0.005242,0.436293,1.754783,0.540591,-6.720791,0.000964
3,0.025000,0.002020,-0.899731,0.005185,0.436410,1.754476,0.540477,-6.720393,0.000963
4,0.033333,0.001936,-0.899685,0.005142,0.436506,1.754223,0.540423,-6.720066,0.000969
5,0.041667,0.001881,-0.899639,0.005065,0.436602,1.753956,0.540340,-6.719719,0.000977
6,0.050000,0.001789,-0.899596,0.005028,0.436691,1.753675,0.540241,-6.719338,0.000990
7,0.058333,0.003922,-0.898736,0.005168,0.438442,1.754230,0.539647,-6.718966,0.000922
8,0.066667,0.001779,-0.899521,0.004908,0.436846,1.753108,0.540069,-6.718535,0.000957
9,0.075000,0.003756,-0.899684,0.005174,0.436495,1.752444,0.539551,-6.718189,0.000807
10,0.083333,0.003734,-0.899629,0.005194,0.436607,1.752139,0.539451,-6.717771,0.000815
11,0.091667,0.001664,-0.899360,0.004839,0.437179,1.752230,0.539769,-6.717368,0.000954
12,0.100000,0.001614,-0.899326,0.004766,0.437250,1.751937,0.539662,-6.716997,0.000936
13,0.108333,0.001572,-0.899256,0.004780,0.437394,1.751656,0.539579,-6.716636,0.000953
14,0.116667,0.001547,-0.899202,0.004803,0.437505,1.751334,0.539458,-6.716184,0.000958
15,0.125000,0.001532,-0.899170,0.004723,0.437571,1.751036,0.539341,-6.715799,0.000948
16,0.133333,0.001487,-0.899112,0.004690,0.437691,1.750747,0.539242,-6.715428,0.000947
17,0.141667,0.001390,-0.899069,0.004678,0.437780,1.750427,0.539119,-6.715017,0.000960
18,0.150000,0.001369,-0.899024,0.004607,0.437873,1.750103,0.538979,-6.714574,0.000945
19,0.158333,0.001330,-0.898974,0.004496,0.437977,1.749832,0.538888,-6.714193,0.000926
20,0.166667,0.001243,-0.898903,0.004503,0.438123,1.749521,0.538782,-6.713795,0.000920
21,0.175000,0.001169,-0.898851,0.004508,0.438230,1.749183,0.538644,-6.713348,0.000946
22,0.183333,,,,,,,,
23,0.191667,-0.001228,0.898755,-0.004512,-0.438426,1.748551,0.538508,-6.712535,0.000917
24,0.200000,-0.001611,0.898175,-0.004250,-0.439614,1.748856,0.538181,-6.712310,0.001233
25,0.208333,-0.001642,0.898131,-0.004193,-0.439705,1.748539,0.538027,-6.711837,0.001144
26,0.216667,-0.001630,0.898069,-0.004218,-0.439831,1.748217,0.537942,-6.711415,0.001117
27,0.225000,-0.003269,0.898797,-0.004908,-0.438325,1.746874,0.537646,-6.710842,0.000806
28,0.233333,-0.001554,0.897943,-0.004229,-0.440090,1.747558,0.537697,-6.710555,0.001100
29,0.241667,-0.001579,0.897909,-0.004190,-0.440159,1.747228,0.537598,-6.710121,0.001070
30,0.250000,-0.001565,0.897831,-0.004270,-0.440317,1.746895,0.537505,-6.709689,0.001075
31,0.258333,-0.001501,0.897768,-0.004282,-0.440445,1.746565,0.537384,-6.709236,0.001100
32,0.266667,-0.001565,0.897721,-0.004290,-0.440542,1.746223,0.537327,-6.708823,0.001063
33,0.275000,-0.001620,0.897653,-0.004332,-0.440679,1.745883,0.537238,-6.708370,0.001048
34,0.283333,-0.001654,0.897599,-0.004355,-0.440788,1.745554,0.537159,-6.707922,0.001068
35,0.291667,-0.001645,0.897556,-0.004344,-0.440876,1.745207,0.537069,-6.707469,0.001065
36,0.300000,-0.001723,0.897498,-0.004356,-0.440994,1.744842,0.536967,-6.707019,0.001027
37,0.308333,-0.001755,0.897428,-0.004367,-0.441135,1.744487,0.536871,-6.706577,0.001024
38,0.316667,-0.001756,0.897378,-0.004357,-0.441238,1.744140,0.536782,-6.706141,0.001026
39,0.325000,-0.001843,0.897307,-0.004356,-0.441382,1.743768,0.536683,-6.705690,0.001001
40,0.333333,-0.001871,0.897230,-0.004434,-0.441536,1.743416,0.536605,-6.705252,0.000993
41,0.341667,-0.001868,0.897176,-0.004476,-0.441647,1.743057,0.536525,-6.704805,0.000985
42,0.350000,-0.001914,0.897123,-0.004540,-0.441753,1.742693,0.536451,-6.704351,0.000962
43,0.358333,-0.003375,0.897958,-0.005082,-0.440039,1.741227,0.536261,-6.703812,0.000772
44,0.366667,-0.003331,0.897934,-0.004936,-0.440089,1.740798,0.536168,-6.703364,0.000807
45,0.375000,-0.003466,0.897869,-0.005041,-0.440220,1.740441,0.536171,-6.702944,0.000825
46,0.383333,-0.003553,0.897799,-0.005137,-0.440361,1.740062,0.536135,-6.702486,0.000824
47,0.391667,-0.003548,0.897772,-0.005149,-0.440416,1.739665,0.536056,-6.702011,0.000811
48,0.400000,-0.003564,0.897716,-0.005206,-0.440530,1.739317,0.536002,-6.701571,0.000817
49,0.408333,-0.003631,0.897635,-0.005251,-0.440693,1.738959,0.535925,-6.701104,0.000787
50,0.416667,-0.003628,0.897600,-0.005221,-0.440764,1.738582,0.535851,-6.700661,0.000773
51,0.425000,-0.003672,0.897561,-0.005262,-0.440844,1.738162,0.535812,-6.700215,0.000793
52,0.433333,-0.003809,0.897485,-0.005365,-0.440995,1.737759,0.535821,-6.699768,0.000815
53,0.441667,-0.003941,0.897455,-0.005422,-0.441055,1.737397,0.535833,-6.699308,0.000801
54,0.450000,-0.003909,0.897417,-0.005492,-0.441132,1.736949,0.535784,-6.698807,0.000831
55,0.458333,-0.003957,0.897349,-0.005633,-0.441267,1.736569,0.535776,-6.698347,0.000846
56,0.466667,-0.003980,0.897307,-0.005592,-0.441353,1.736161,0.535716,-6.697877,0.000803
57,0.475000,-0.003978,0.897233,-0.005610,-0.441504,1.735742,0.535682,-6.697428,0.000810
58,0.483333,-0.004017,0.897165,-0.005668,-0.441640,1.735354,0.535696,-6.696985,0.000824
59,0.491667,-0.004094,0.897115,-0.005580,-0.441744,1.734951,0.535649,-6.696510,0.000777
60,0.500000,-0.004109,0.897059,-0.005685,-0.441855,1.734517,0.535642,-6.696012,0.000795
61,0.508333,-0.004243,0.896988,-0.005897,-0.441994,1.734128,0.535690,-6.695560,0.000825
62,0.516667,-0.004369,0.896915,-0.005944,-0.442141,1.733755,0.535701,-6.695125,0.000796
63,0.525000,-0.004712,0.897266,-0.005600,-0.441430,1.732736,0.535378,-6.694583,0.000804
64,0.533333,-0.004714,0.897205,-0.005655,-0.441554,1.732289,0.535389,-6.694123,0.000824
65,0.541667,-0.004262,0.896742,-0.005847,-0.442494,1.732458,0.535634,-6.693683,0.000808
66,0.550000,-0.004227,0.896688,-0.005860,-0.442604,1.732010,0.535603,-6.693146,0.000811
67,0.558333,-0.003119,0.895312,-0.005490,-0.445396,1.733353,0.535847,-6.692845,0.001152
68,0.566667,-0.003298,0.895250,-0.005508,-0.445519,1.732966,0.535871,-6.692374,0.001162
69,0.575000,-0.004904,0.896903,-0.005824,-0.442162,1.730228,0.535427,-6.691649,0.000789
70,0.583333,-0.004025,0.895349,-0.005853,-0.445308,1.731796,0.535794,-6.691393,0.001340
71,0.591667,-0.003933,0.895334,-0.005847,-0.445341,1.731331,0.535827,-6.690881,0.001256
72,0.600000,-0.003995,0.895233,-0.005884,-0.445542,1.730871,0.535823,-6.690341,0.001297
73,0.608333,-0.004016,0.895181,-0.005917,-0.445646,1.730497,0.535860,-6.689860,0.001311
74,0.616667,-0.004100,0.895129,-0.005908,-0.445749,1.730056,0.535875,-6.689321,0.001284
75,0.625000,-0.003497,0.894806,-0.005841,-0.446404,1.729942,0.535980,-6.688763,0.001195
76,0.633333,-0.004211,0.895000,-0.006028,-0.446005,1.729197,0.535900,-6.688294,0.001335
77,0.641667,-0.004177,0.894948,-0.006040,-0.446111,1.728735,0.535958,-6.687726,0.001275
78,0.650000,-0.004136,0.894868,-0.005976,-0.446271,1.728285,0.535963,-6.687202,0.001315
79,0.658333,-0.004032,0.894788,-0.005943,-0.446434,1.727868,0.535977,-6.686706,0.001312
80,0.666667,-0.004200,0.894718,-0.006052,-0.446571,1.727413,0.536018,-6.686113,0.001295
81,0.675000,-0.004269,0.894660,-0.006093,-0.446687,1.726989,0.536057,-6.685603,0.001321
82,0.683333,-0.004245,0.894589,-0.006097,-0.446829,1.726576,0.536082,-6.685065,0.001300
83,0.691667,-0.004229,0.894525,-0.006101,-0.446957,1.726111,0.536132,-6.684474,0.001317
84,0.700000,-0.004226,0.894461,-0.006060,-0.447086,1.725701,0.536175,-6.683950,0.001352
85,0.708333,-0.004163,0.894389,-0.006102,-0.447229,1.725245,0.536200,-6.683379,0.001307
86,0.716667,-0.004254,0.894349,-0.006005,-0.447309,1.724796,0.536221,-6.682802,0.001298
87,0.725000,-0.004279,0.894273,-0.005996,-0.447461,1.724390,0.536279,-6.682252,0.001310
88,0.733333,-0.004193,0.894177,-0.005973,-0.447655,1.723921,0.536307,-6.681677,0.001311
89,0.741667,-0.004174,0.894138,-0.005955,-0.447733,1.723486,0.536333,-6.681090,0.001329
90,0.750000,-0.004119,0.894041,-0.006002,-0.447925,1.723037,0.536344,-6.680525,0.001293
91,0.758333,-0.004207,0.894015,-0.005965,-0.447978,1.722548,0.536369,-6.679914,0.001306
92,0.766667,-0.004212,0.893933,-0.005854,-0.448142,1.722141,0.536427,-6.679348,0.001298
93,0.775000,-0.004101,0.893845,-0.005832,-0.448318,1.721707,0.536476,-6.678764,0.001292
94,0.783333,-0.004144,0.893793,-0.005820,-0.448423,1.721235,0.536514,-6.678157,0.001314
95,0.791667,-0.004126,0.893703,-0.005890,-0.448601,1.720791,0.536528,-6.677572,0.001299
96,0.800000,-0.004147,0.893657,-0.005780,-0.448693,1.720331,0.536557,-6.676970,0.001310
97,0.808333,-0.004101,0.893598,-0.005686,-0.448813,1.719893,0.536571,-6.676333,0.001327
98,0.816667,-0.003560,0.893288,-0.005545,-0.449436,1.719770,0.536739,-6.675704,0.001155
99,0.825000,-0.004105,0.893469,-0.005636,-0.449072,1.718987,0.536667,-6.675130,0.001297
100,0.833333,-0.004079,0.893382,-0.005601,-0.449244,1.718539,0.536676,-6.674512,0.001287
101,0.841667,-0.004046,0.893332,-0.005502,-0.449346,1.718087,0.536688,-6.673917,0.001323
102,0.850000,-0.004115,0.893267,-0.005556,-0.449473,1.717627,0.536720,-6.673281,0.001315
103,0.858333,-0.004073,0.893215,-0.005504,-0.449579,1.717191,0.536807,-6.672666,0.001287
104,0.866667,-0.004055,0.893154,-0.005379,-0.449701,1.716718,0.536816,-6.672050,0.001294
105,0.875000,-0.004019,0.893053,-0.005323,-0.449902,1.716266,0.536827,-6.671437,0.001300
106,0.883333,-0.004104,0.893029,-0.005347,-0.449949,1.715773,0.536835,-6.670768,0.001317
107,0.891667,-0.003683,0.892677,-0.005261,-0.450651,1.715640,0.536984,-6.670125,0.001221
108,0.900000,-0.003535,0.892650,-0.005226,-0.450706,1.715171,0.537025,-6.669504,0.001168
109,0.908333,-0.004031,0.892822,-0.005259,-0.450360,1.714394,0.536949,-6.668896,0.001313
110,0.916667,-0.003460,0.892526,-0.005040,-0.450955,1.714259,0.537085,-6.668241,0.001137
111,0.925000,-0.004131,0.892708,-0.005182,-0.450587,1.713449,0.536989,-6.667587,0.001320
112,0.933333,-0.003668,0.892396,-0.005117,-0.451209,1.713282,0.537133,-6.666939,0.001164
113,0.941667,-0.003645,0.892347,-0.005030,-0.451306,1.712822,0.537157,-6.666327,0.001185
114,0.950000,-0.003522,0.892256,-0.004939,-0.451489,1.712321,0.537174,-6.665619,0.001198
115,0.958333,-0.003539,0.892210,-0.004885,-0.451581,1.711849,0.537200,-6.665009,0.001155
116,0.966667,-0.004100,0.892381,-0.005070,-0.451235,1.711051,0.537090,-6.664392,0.001306
117,0.975000,-0.003648,0.892092,-0.004934,-0.451813,1.710875,0.537219,-6.663722,0.001157
118,0.983333,-0.003687,0.892029,-0.004843,-0.451938,1.710395,0.537256,-6.663048,0.001195
119,0.991667,-0.003725,0.891965,-0.004793,-0.452063,1.709896,0.537298,-6.662401,0.001180
120,1.000000,-0.004638,0.893364,-0.005203,-0.449279,1.707452,0.537077,-6.661473,0.000948
121,1.008333,-0.003673,0.891821,-0.004826,-0.452348,1.708913,0.537300,-6.661103,0.001185
122,1.016667,-0.003667,0.892574,-0.007348,-0.450827,1.707490,0.538487,-6.660201,0.001157
123,1.025000,-0.003755,0.891685,-0.004693,-0.452616,1.707927,0.537358,-6.659785,0.001192
124,1.033333,-0.003699,0.892427,-0.007179,-0.451119,1.706516,0.538517,-6.658897,0.001146
125,1.041667,-0.003811,0.891561,-0.004696,-0.452860,1.706903,0.537385,-6.658476,0.001196
126,1.050000,-0.003618,0.892322,-0.007242,-0.451328,1.705427,0.538532,-6.657545,0.001151
127,1.058333,-0.003894,0.891463,-0.004700,-0.453053,1.705881,0.537466,-6.657115,0.001181
128,1.066667,-0.004268,0.892166,-0.005435,-0.451655,1.704476,0.537673,-6.656243,0.001197
129,1.075000,-0.004390,0.891574,-0.004746,-0.452829,1.704546,0.537385,-6.655807,0.001259
130,1.083333,-0.004260,0.892040,-0.005334,-0.451905,1.703414,0.537600,-6.654888,0.001182
131,1.091667,-0.003947,0.891201,-0.004778,-0.453567,1.703790,0.537522,-6.654443,0.001141
132,1.100000,-0.003874,0.891917,-0.007367,-0.452123,1.702309,0.538726,-6.653473,0.001188
133,1.108333,-0.003674,0.891362,-0.004716,-0.453252,1.702310,0.537586,-6.653012,0.001104
134,1.116667,-0.004277,0.891731,-0.005484,-0.452513,1.701336,0.537758,-6.652160,0.001175
135,1.125000,-0.004499,0.891183,-0.004840,-0.453597,1.701374,0.537511,-6.651685,0.001218
