Format Version,1.23,Take Name,Take 2021-07-09 18.50.59 AM_016,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-07-11 01.41.22.271 下午,Total Frames in Take,2066,Total Exported Frames,2066,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV,OASES_USV
,ID,"3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188","3BFF0C49E20A11EB1371DA7D1A00D188"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
0,0.000000,0.004535,-0.426758,0.001851,-0.904353,1.679106,0.537041,-6.638925,0.000915
1,0.008333,0.004687,-0.426905,0.001748,-0.904283,1.678807,0.537033,-6.638455,0.000893
2,0.016667,0.004681,-0.426987,0.001673,-0.904244,1.678512,0.537022,-6.638019,0.000896
3,0.025000,0.004697,-0.427054,0.001610,-0.904212,1.678213,0.536998,-6.637573,0.000898
4,0.033333,0.004769,-0.427146,0.001555,-0.904169,1.677899,0.536975,-6.637119,0.000918
5,0.041667,0.004609,-0.426652,0.000728,-0.904404,1.677326,0.536699,-6.636907,0.001008
6,0.050000,0.005158,-0.427342,0.001063,-0.904075,1.677356,0.536436,-6.636262,0.000540
7,0.058333,0.004913,-0.427380,0.001257,-0.904058,1.676960,0.536964,-6.635721,0.000921
8,0.066667,0.005349,-0.427481,0.000797,-0.904008,1.676678,0.536465,-6.635343,0.000552
9,0.075000,0.005446,-0.427567,0.000733,-0.903967,1.676343,0.536437,-6.634838,0.000578
10,0.083333,0.005566,-0.427699,0.000676,-0.903904,1.676005,0.536387,-6.634335,0.000578
11,0.091667,0.005639,-0.427803,0.000663,-0.903854,1.675656,0.536384,-6.633872,0.000553
12,0.100000,0.005659,-0.427895,0.000573,-0.903810,1.675329,0.536406,-6.633373,0.000544
13,0.108333,0.005726,-0.428003,0.000419,-0.903759,1.674979,0.536399,-6.632869,0.000555
14,0.116667,0.005693,-0.428046,0.000281,-0.903739,1.674643,0.536435,-6.632408,0.000540
15,0.125000,0.005768,-0.428141,0.000184,-0.903694,1.674297,0.536424,-6.631906,0.000527
16,0.133333,0.005524,-0.428224,0.000410,-0.903656,1.673879,0.536944,-6.631337,0.000924
17,0.141667,0.006013,-0.428625,0.000680,-0.903462,1.673688,0.536710,-6.630651,0.000941
18,0.150000,0.006009,-0.428417,-0.000014,-0.903561,1.673215,0.536393,-6.630377,0.000556
19,0.158333,0.005633,-0.428464,0.000168,-0.903541,1.672782,0.536961,-6.629825,0.000933
20,0.166667,0.006055,-0.428575,-0.000257,-0.903486,1.672520,0.536438,-6.629328,0.000577
21,0.175000,0.006123,-0.428955,0.000210,-0.903305,1.672282,0.536743,-6.628579,0.000936
22,0.183333,0.006151,-0.428753,-0.000418,-0.903401,1.671804,0.536411,-6.628245,0.000578
23,0.191667,,,,,,,,
24,0.200000,0.006012,-0.428895,-0.000456,-0.903334,1.670794,0.536341,-6.627242,0.000773
25,0.208333,0.006310,-0.429321,-0.000111,-0.903130,1.670781,0.536728,-6.626382,0.000943
26,0.216667,0.006037,-0.429036,-0.000685,-0.903267,1.670038,0.536346,-6.626162,0.000807
27,0.225000,0.006027,-0.429399,-0.000280,-0.903095,1.669799,0.536622,-6.625384,0.001115
28,0.233333,0.006250,-0.429217,-0.000988,-0.903179,1.669570,0.536423,-6.624905,0.000590
